Schistosity (strike),Dip,Photo,Orientation,Fold hinge (dip),Orientation,Mineral lineation (dip),Orientation,Crenulation (strike),Dip,Orientation,Dyke orientation (strike),Dip,Orientation,GPS,,,,Fold hinge,y,x,y',x',long',lat',long WGS84,lat WGS84,,Photo
24,48,IMG_7408.jpg,NW,,,,,,,,,,,625963,84114,,,,625963,84114,0.025963,-0.115886,2.798351357,16.52692748,7.773198214,45.90813189,,IMG_7408.jpg
,,IMG_7408.jpg,,15-198,198,,,358/90 W,,,,,,625977,84124,,,198,625977,84124,0.025977,-0.115876,2.7984165,16.52695967,7.773379166,45.90822131,,IMG_7408.jpg
59,32,IMG_7408.jpg,SE,,,23-213,,,,,,,,626013,84141,,,,626013,84141,0.026013,-0.115859,2.798583838,16.52701422,7.773843994,45.90837284,,IMG_7408.jpg
25,45,IMG_7408.jpg,SE,,,,,,,,,,,626027,84127,,,,626027,84127,0.026027,-0.115873,2.798648506,16.52696869,7.774023627,45.90824637,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,013/75 W,,,626035,84123,,,,626035,84123,0.026035,-0.115877,2.798685538,16.52695563,7.774126495,45.90821008,,IMG_7408.jpg
180,35,IMG_7408.jpg,E,,,,,,,,,,,626047,84122,,,,626047,84122,0.026047,-0.115878,2.798741185,16.52695223,7.774281071,45.90820063,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,040/55 NW,,,626069,84168,,,,626069,84168,0.026069,-0.115832,2.798844155,16.52710088,7.774567097,45.90861356,,IMG_7408.jpg
144,33,IMG_7408.jpg,NE,,,,,,,,029/50 W,,,626122,84218,,,,626122,84218,0.026122,-0.115782,2.799091014,16.52726206,7.775252817,45.90906128,,IMG_7408.jpg
30,51,IMG_7408.jpg,SE,04-230,230,,,,,,,,,626216,84241,,,230,626216,84241,0.026216,-0.115759,2.79952754,16.52733523,7.776465388,45.90926453,,IMG_7408.jpg
69,21,IMG_7408.jpg,NW,,,25-217,,,,,,,,626249,84253,,,,626249,84253,0.026249,-0.115747,2.799680867,16.52737363,7.776891297,45.9093712,,IMG_7408.jpg
81,44,IMG_7408.jpg,S,19-243,243,,,,,,,,,626266,84255,,,243,626266,84255,0.026266,-0.115745,2.799759771,16.52737987,7.777110474,45.90938853,,IMG_7408.jpg
12,86,IMG_7408.jpg,W,,,,,,,,,,,626446,84211,,,,626446,84211,0.026446,-0.115789,2.80059391,16.52723486,7.779427528,45.90898573,,IMG_7408.jpg
9,70,IMG_7408.jpg,E,,,,,,,,,,,626460,84202,,,,626460,84202,0.02646,-0.115798,2.800658675,16.52720552,7.77960743,45.90890423,,IMG_7408.jpg
115,17,IMG_7408.jpg,S,17-207,207,,,,,,,,,626460,84202,,,207,626460,84202,0.02646,-0.115798,2.800658675,16.52720552,7.77960743,45.90890423,,IMG_7408.jpg
136,45,IMG_7408.jpg,NE,,,,,,,,,,,626472,84169,,,,626472,84169,0.026472,-0.115831,2.800713678,16.52709849,7.779760216,45.90860692,,IMG_7408.jpg
174,22,IMG_7408.jpg,E,,,,,,,,,,,626468,84131,,,,626468,84131,0.026468,-0.115869,2.800694356,16.52697549,7.779706545,45.90826526,,IMG_7408.jpg
17,77,IMG_7408.jpg,W,,,,,,,,,,,626446,84118,,,204.8787879,626446,84118,0.026446,-0.115882,2.800592038,16.52693371,7.779422328,45.90814918,,IMG_7408.jpg
22,82,IMG_7408.jpg,E,,,,,,,,,,,626340,84126,,,,626340,84126,0.02634,-0.115874,2.800100472,16.5269611,7.778056867,45.90822527,,IMG_7408.jpg
